code,province,date,avg_relative_humidity
152,Ulsan,2020-06-02,44.1
155,Gyeongsangnam-do,2020-06-02,48.5
156,Gwangju,2020-06-02,61.3
159,Busan,2020-06-02,50.8
162,Gyeongsangnam-do,2020-06-02,68.1
165,Jeollanam-do,2020-06-02,77.6
168,Jeollanam-do,2020-06-02,63
169,Jeollanam-do,2020-06-02,98.4
170,Jeollanam-do,2020-06-02,65.5
172,Jeollabuk-do,2020-06-02,68.3
174,Jeollanam-do,2020-06-02,61.8
177,Chungcheongnam-do,2020-06-02,79.3
184,Jeju-do,2020-06-02,69.3
185,Jeju-do,2020-06-02,92.5
188,Jeju-do,2020-06-02,76.5
189,Jeju-do,2020-06-02,94
192,Gyeongsangnam-do,2020-06-02,56.6
201,Incheon,2020-06-02,80.9
202,Gyeonggi-do,2020-06-02,71.1
203,Gyeonggi-do,2020-06-02,71.9
211,Gangwon-do,2020-06-02,65.5
212,Gangwon-do,2020-06-02,65.6
216,Gangwon-do,2020-06-02,42.6
217,Gangwon-do,2020-06-02,60.4
221,Chungcheongbuk-do,2020-06-02,57.1
226,Chungcheongbuk-do,2020-06-02,65
232,Chungcheongnam-do,2020-06-02,66.9
235,Chungcheongnam-do,2020-06-02,77.1
236,Chungcheongnam-do,2020-06-02,75.5
238,Chungcheongnam-do,2020-06-02,64.8
239,Sejong,2020-06-02,64.1
243,Chungcheongnam-do,2020-06-02,72.5
244,Jeollabuk-do,2020-06-02,65.6
245,Jeollabuk-do,2020-06-02,60.4
247,Jeollabuk-do,2020-06-02,52.6
248,Jeollabuk-do,2020-06-02,63.5
251,Jeollabuk-do,2020-06-02,61.3
252,Jeollanam-do,2020-06-02,67.8
253,Gyeongsangnam-do,2020-06-02,49.8
254,Jeollabuk-do,2020-06-02,62.3
255,Gyeongsangnam-do,2020-06-02,49.9
257,Gyeongsangnam-do,2020-06-02,47.1
258,Jeollanam-do,2020-06-02,61
259,Jeollanam-do,2020-06-02,61.6
260,Jeollanam-do,2020-06-02,67.6
261,Jeollanam-do,2020-06-02,73.1
262,Jeollanam-do,2020-06-02,64.6
263,Gyeongsangnam-do,2020-06-02,48.9
264,Gyeongsangnam-do,2020-06-02,56
266,Jeollanam-do,2020-06-02,47.4
268,Jeollanam-do,2020-06-02,81.8
271,Gyeongsangbuk-do,2020-06-02,60.5
272,Gyeongsangbuk-do,2020-06-02,54.6
273,Gyeongsangbuk-do,2020-06-02,58.8
276,Gyeongsangbuk-do,2020-06-02,57.5
277,Gyeongsangbuk-do,2020-06-02,40.5
278,Gyeongsangbuk-do,2020-06-02,51
279,Gyeongsangbuk-do,2020-06-02,53
281,Gyeongsangbuk-do,2020-06-02,47.5
283,Gyeongsangbuk-do,2020-06-02,41.6
284,Gyeongsangnam-do,2020-06-02,60.3
285,Gyeongsangnam-do,2020-06-02,51.1
288,Gyeongsangnam-do,2020-06-02,39
289,Gyeongsangnam-do,2020-06-02,54.1
294,Gyeongsangnam-do,2020-06-02,61.1
295,Gyeongsangnam-do,2020-06-02,53.1
90,Gangwon-do,2020-06-03,58.4
93,Gangwon-do,2020-06-03,69.4
95,Gangwon-do,2020-06-03,80.8
98,Gyeonggi-do,2020-06-03,77.5
99,Gyeonggi-do,2020-06-03,81.1
100,Gangwon-do,2020-06-03,70.1
101,Gangwon-do,2020-06-03,65.6
102,Incheon,2020-06-03,99.1
104,Gangwon-do,2020-06-03,60.1
105,Gangwon-do,2020-06-03,54.8
106,Gangwon-do,2020-06-03,69.3
108,Seoul,2020-06-03,73.3
112,Incheon,2020-06-03,82.1
114,Gangwon-do,2020-06-03,66.6
115,Gyeongsangbuk-do,2020-06-03,69.4
119,Gyeonggi-do,2020-06-03,82.1
121,Gangwon-do,2020-06-03,66.1
127,Chungcheongbuk-do,2020-06-03,72.8
129,Chungcheongnam-do,2020-06-03,88.3
130,Gyeongsangbuk-do,2020-06-03,66.4
131,Chungcheongbuk-do,2020-06-03,70.4
133,Daejeon,2020-06-03,75.3
135,Chungcheongbuk-do,2020-06-03,62.4
136,Gyeongsangbuk-do,2020-06-03,58.6
137,Gyeongsangbuk-do,2020-06-03,65.6
138,Gyeongsangbuk-do,2020-06-03,51.8
140,Jeollabuk-do,2020-06-03,86
143,Daegu,2020-06-03,56.5
146,Jeollabuk-do,2020-06-03,72.1
152,Ulsan,2020-06-03,63.4
155,Gyeongsangnam-do,2020-06-03,75.6
156,Gwangju,2020-06-03,83.4
159,Busan,2020-06-03,81.3
162,Gyeongsangnam-do,2020-06-03,88.8
165,Jeollanam-do,2020-06-03,92.3
168,Jeollanam-do,2020-06-03,91.5
169,Jeollanam-do,2020-06-03,98.9
170,Jeollanam-do,2020-06-03,90.5
172,Jeollabuk-do,2020-06-03,83
174,Jeollanam-do,2020-06-03,82.4
177,Chungcheongnam-do,2020-06-03,86.3
184,Jeju-do,2020-06-03,83.6
185,Jeju-do,2020-06-03,98.1
188,Jeju-do,2020-06-03,86.4
189,Jeju-do,2020-06-03,98.8
192,Gyeongsangnam-do,2020-06-03,77.3
201,Incheon,2020-06-03,89.8
202,Gyeonggi-do,2020-06-03,73.5
203,Gyeonggi-do,2020-06-03,78.5
211,Gangwon-do,2020-06-03,58.5
212,Gangwon-do,2020-06-03,63.9
216,Gangwon-do,2020-06-03,56.1
217,Gangwon-do,2020-06-03,72.3
221,Chungcheongbuk-do,2020-06-03,73.3
226,Chungcheongbuk-do,2020-06-03,71.5
232,Chungcheongnam-do,2020-06-03,78.6
235,Chungcheongnam-do,2020-06-03,91.1
236,Chungcheongnam-do,2020-06-03,84.1
238,Chungcheongnam-do,2020-06-03,72.9
239,Sejong,2020-06-03,74.8
243,Chungcheongnam-do,2020-06-03,81.1
244,Jeollabuk-do,2020-06-03,76.6
245,Jeollabuk-do,2020-06-03,73.1
247,Jeollabuk-do,2020-06-03,68.8
248,Jeollabuk-do,2020-06-03,74
251,Jeollabuk-do,2020-06-03,77.5
252,Jeollanam-do,2020-06-03,82.1
253,Gyeongsangnam-do,2020-06-03,76.9
254,Jeollabuk-do,2020-06-03,76.1
255,Gyeongsangnam-do,2020-06-03,79.5
257,Gyeongsangnam-do,2020-06-03,76.6
258,Jeollanam-do,2020-06-03,84.6
259,Jeollanam-do,2020-06-03,83.5
260,Jeollanam-do,2020-06-03,84.5
261,Jeollanam-do,2020-06-03,87.6
262,Jeollanam-do,2020-06-03,86.9
263,Gyeongsangnam-do,2020-06-03,69.9
264,Gyeongsangnam-do,2020-06-03,64.1
266,Jeollanam-do,2020-06-03,72.3
268,Jeollanam-do,2020-06-03,91.5
271,Gyeongsangbuk-do,2020-06-03,70.9
272,Gyeongsangbuk-do,2020-06-03,68.8
273,Gyeongsangbuk-do,2020-06-03,67.9
276,Gyeongsangbuk-do,2020-06-03,71.8
277,Gyeongsangbuk-do,2020-06-03,58.4
278,Gyeongsangbuk-do,2020-06-03,64.4
279,Gyeongsangbuk-do,2020-06-03,69.6
281,Gyeongsangbuk-do,2020-06-03,61.1
283,Gyeongsangbuk-do,2020-06-03,61.6
284,Gyeongsangnam-do,2020-06-03,70.9
285,Gyeongsangnam-do,2020-06-03,72.9
288,Gyeongsangnam-do,2020-06-03,68.4
289,Gyeongsangnam-do,2020-06-03,76.6
294,Gyeongsangnam-do,2020-06-03,82
295,Gyeongsangnam-do,2020-06-03,81.3
90,Gangwon-do,2020-06-04,51
93,Gangwon-do,2020-06-04,74
95,Gangwon-do,2020-06-04,89
98,Gyeonggi-do,2020-06-04,85.8
99,Gyeonggi-do,2020-06-04,90.3
100,Gangwon-do,2020-06-04,69.6
101,Gangwon-do,2020-06-04,68.5
102,Incheon,2020-06-04,93.8
104,Gangwon-do,2020-06-04,48.4
105,Gangwon-do,2020-06-04,47.5
106,Gangwon-do,2020-06-04,49
108,Seoul,2020-06-04,81.1
112,Incheon,2020-06-04,92.4
114,Gangwon-do,2020-06-04,59
115,Gyeongsangbuk-do,2020-06-04,58.1
119,Gyeonggi-do,2020-06-04,86.5
121,Gangwon-do,2020-06-04,61.8
127,Chungcheongbuk-do,2020-06-04,66.6
129,Chungcheongnam-do,2020-06-04,93.8
130,Gyeongsangbuk-do,2020-06-04,52.3
131,Chungcheongbuk-do,2020-06-04,64.5
133,Daejeon,2020-06-04,72.1
135,Chungcheongbuk-do,2020-06-04,57.4
136,Gyeongsangbuk-do,2020-06-04,55.8
137,Gyeongsangbuk-do,2020-06-04,61.6
138,Gyeongsangbuk-do,2020-06-04,52.6
140,Jeollabuk-do,2020-06-04,85.4
143,Daegu,2020-06-04,56.5
146,Jeollabuk-do,2020-06-04,72.8
152,Ulsan,2020-06-04,70.4
155,Gyeongsangnam-do,2020-06-04,73.5
156,Gwangju,2020-06-04,72.5
159,Busan,2020-06-04,78.1
162,Gyeongsangnam-do,2020-06-04,82.9
165,Jeollanam-do,2020-06-04,87.5
168,Jeollanam-do,2020-06-04,84.1
169,Jeollanam-do,2020-06-04,96.4
170,Jeollanam-do,2020-06-04,78.6
172,Jeollabuk-do,2020-06-04,78.1
174,Jeollanam-do,2020-06-04,74
177,Chungcheongnam-do,2020-06-04,87.4
184,Jeju-do,2020-06-04,86.4
185,Jeju-do,2020-06-04,92.3
188,Jeju-do,2020-06-04,80.8
189,Jeju-do,2020-06-04,96.8
192,Gyeongsangnam-do,2020-06-04,76.6
201,Incheon,2020-06-04,99.3
202,Gyeonggi-do,2020-06-04,74.8
203,Gyeonggi-do,2020-06-04,78
211,Gangwon-do,2020-06-04,65.6
212,Gangwon-do,2020-06-04,68.6
216,Gangwon-do,2020-06-04,57.5
217,Gangwon-do,2020-06-04,66.6
221,Chungcheongbuk-do,2020-06-04,67.8
226,Chungcheongbuk-do,2020-06-04,65.4
232,Chungcheongnam-do,2020-06-04,76.3
235,Chungcheongnam-do,2020-06-04,92.6
236,Chungcheongnam-do,2020-06-04,81.4
238,Chungcheongnam-do,2020-06-04,65
239,Sejong,2020-06-04,68.5
243,Chungcheongnam-do,2020-06-04,80.9
244,Jeollabuk-do,2020-06-04,73.1
245,Jeollabuk-do,2020-06-04,75.1
247,Jeollabuk-do,2020-06-04,69.4
248,Jeollabuk-do,2020-06-04,70.1
251,Jeollabuk-do,2020-06-04,74.5
252,Jeollanam-do,2020-06-04,76.8
253,Gyeongsangnam-do,2020-06-04,74
254,Jeollabuk-do,2020-06-04,69.1
255,Gyeongsangnam-do,2020-06-04,74.9
257,Gyeongsangnam-do,2020-06-04,73.9
258,Jeollanam-do,2020-06-04,80.5
259,Jeollanam-do,2020-06-04,75
260,Jeollanam-do,2020-06-04,76.8
261,Jeollanam-do,2020-06-04,84.4
262,Jeollanam-do,2020-06-04,78
263,Gyeongsangnam-do,2020-06-04,65.8
264,Gyeongsangnam-do,2020-06-04,55.9
266,Jeollanam-do,2020-06-04,71.8
268,Jeollanam-do,2020-06-04,84.1
271,Gyeongsangbuk-do,2020-06-04,66.1
272,Gyeongsangbuk-do,2020-06-04,63.4
273,Gyeongsangbuk-do,2020-06-04,62
276,Gyeongsangbuk-do,2020-06-04,68.1
277,Gyeongsangbuk-do,2020-06-04,47.8
278,Gyeongsangbuk-do,2020-06-04,60
279,Gyeongsangbuk-do,2020-06-04,63.6
281,Gyeongsangbuk-do,2020-06-04,56.3
283,Gyeongsangbuk-do,2020-06-04,62.8
284,Gyeongsangnam-do,2020-06-04,64.4
285,Gyeongsangnam-do,2020-06-04,71.6
288,Gyeongsangnam-do,2020-06-04,71.1
289,Gyeongsangnam-do,2020-06-04,72.9
294,Gyeongsangnam-do,2020-06-04,75.1
295,Gyeongsangnam-do,2020-06-04,72.9
90,Gangwon-do,2020-06-05,82.5
93,Gangwon-do,2020-06-05,72
95,Gangwon-do,2020-06-05,76.4
98,Gyeonggi-do,2020-06-05,75
99,Gyeonggi-do,2020-06-05,79.5
100,Gangwon-do,2020-06-05,89
101,Gangwon-do,2020-06-05,65.3
102,Incheon,2020-06-05,75.9
104,Gangwon-do,2020-06-05,82.1
105,Gangwon-do,2020-06-05,78
106,Gangwon-do,2020-06-05,83.8
108,Seoul,2020-06-05,69.4
112,Incheon,2020-06-05,80.3
114,Gangwon-do,2020-06-05,55.1
115,Gyeongsangbuk-do,2020-06-05,68.9
119,Gyeonggi-do,2020-06-05,82.1
121,Gangwon-do,2020-06-05,60
127,Chungcheongbuk-do,2020-06-05,66.3
129,Chungcheongnam-do,2020-06-05,81.6
130,Gyeongsangbuk-do,2020-06-05,80.4
131,Chungcheongbuk-do,2020-06-05,61
133,Daejeon,2020-06-05,73
