date,time,province,confirmed,released,deceased
2020-08-01,0,Seoul,1602,1434,11
2020-08-01,0,Busan,172,154,3
2020-08-01,0,Daegu,6940,6745,191
2020-08-01,0,Incheon,384,366,2
2020-08-01,0,Gwangju,204,142,2
2020-08-01,0,Daejeon,166,159,2
2020-08-01,0,Ulsan,59,53,1
2020-08-01,0,Sejong,50,50,0
2020-08-01,0,Gyeonggi-do,1553,1996,31
2020-08-01,0,Gangwon-do,74,67,3
2020-08-01,0,Chungcheongbuk-do,73,70,0
2020-08-01,0,Chungcheongnam-do,190,185,1
2020-08-01,0,Jeollabuk-do,39,33,0
2020-08-01,0,Jeollanam-do,38,24,0
2020-08-01,0,Gyeongsangbuk-do,1402,1339,54
2020-08-01,0,Gyeongsangnam-do,159,149,0
2020-08-01,0,Jeju-do,26,21,0
2020-08-02,0,Seoul,1607,1442,11
2020-08-02,0,Busan,173,154,3
2020-08-02,0,Daegu,6942,6745,191
2020-08-02,0,Incheon,384,366,2
2020-08-02,0,Gwangju,205,143,2
2020-08-02,0,Daejeon,166,159,2
2020-08-02,0,Ulsan,59,54,1
2020-08-02,0,Sejong,50,50,0
2020-08-02,0,Gyeonggi-do,1556,1341,31
2020-08-02,0,Gangwon-do,74,67,3
2020-08-02,0,Chungcheongbuk-do,73,70,0
2020-08-02,0,Chungcheongnam-do,190,185,1
2020-08-02,0,Jeollabuk-do,39,34,0
2020-08-02,0,Jeollanam-do,38,24,0
2020-08-02,0,Gyeongsangbuk-do,1403,1339,54
2020-08-02,0,Gyeongsangnam-do,159,153,0
2020-08-02,0,Jeju-do,26,21,0
2020-08-03,0,Seoul,1612,1449,11
2020-08-03,0,Busan,173,154,3
2020-08-03,0,Daegu,6942,6745,191
2020-08-03,0,Incheon,384,366,2
2020-08-03,0,Gwangju,205,146,2
2020-08-03,0,Daejeon,166,160,2
2020-08-03,0,Ulsan,59,54,1
2020-08-03,0,Sejong,50,50,0
2020-08-03,0,Gyeonggi-do,1557,1342,31
2020-08-03,0,Gangwon-do,74,67,3
2020-08-03,0,Chungcheongbuk-do,73,70,0
2020-08-03,0,Chungcheongnam-do,190,185,1
2020-08-03,0,Jeollabuk-do,39,35,0
2020-08-03,0,Jeollanam-do,38,24,0
2020-08-03,0,Gyeongsangbuk-do,1404,1993,54
2020-08-03,0,Gyeongsangnam-do,161,153,0
2020-08-03,0,Jeju-do,26,21,0
2020-08-04,0,Seoul,1621,1463,11
2020-08-04,0,Busan,174,154,3
2020-08-04,0,Daegu,6942,6746,191
2020-08-04,0,Incheon,385,366,2
2020-08-04,0,Gwangju,207,151,2
2020-08-04,0,Daejeon,166,160,2
2020-08-04,0,Ulsan,59,54,1
2020-08-04,0,Sejong,50,50,0
2020-08-04,0,Gyeonggi-do,1568,1352,31
2020-08-04,0,Gangwon-do,74,67,3
2020-08-04,0,Chungcheongbuk-do,74,70,0
2020-08-04,0,Chungcheongnam-do,190,185,1
2020-08-04,0,Jeollabuk-do,39,35,0
2020-08-04,0,Jeollanam-do,39,24,0
2020-08-04,0,Gyeongsangbuk-do,1405,1341,54
2020-08-04,0,Gyeongsangnam-do,161,155,0
2020-08-04,0,Jeju-do,26,21,0
2020-08-05,0,Seoul,1627,1475,12
2020-08-05,0,Busan,174,154,3
2020-08-05,0,Daegu,6943,6746,191
2020-08-05,0,Incheon,386,366,2
2020-08-05,0,Gwangju,208,156,2
2020-08-05,0,Daejeon,166,160,2
2020-08-05,0,Ulsan,59,56,1
2020-08-05,0,Sejong,50,50,0
2020-08-05,0,Gyeonggi-do,1575,1358,31
2020-08-05,0,Gangwon-do,75,68,3
2020-08-05,0,Chungcheongbuk-do,80,70,0
2020-08-05,0,Chungcheongnam-do,190,185,1
2020-08-05,0,Jeollabuk-do,39,36,0
2020-08-05,0,Jeollanam-do,39,25,0
2020-08-05,0,Gyeongsangbuk-do,1405,1341,54
2020-08-05,0,Gyeongsangnam-do,165,155,0
2020-08-05,0,Jeju-do,26,21,0
2020-08-06,0,Seoul,1636,1488,12
2020-08-06,0,Busan,177,154,3
2020-08-06,0,Daegu,6943,6746,191
2020-08-06,0,Incheon,386,368,2
2020-08-06,0,Gwangju,208,164,2
2020-08-06,0,Daejeon,166,160,2
2020-08-06,0,Ulsan,59,56,1
2020-08-06,0,Sejong,50,50,0
2020-08-06,0,Gyeonggi-do,1588,1397,31
2020-08-06,0,Gangwon-do,77,68,3
2020-08-06,0,Chungcheongbuk-do,81,71,0
2020-08-06,0,Chungcheongnam-do,192,187,1
2020-08-06,0,Jeollabuk-do,39,36,0
2020-08-06,0,Jeollanam-do,41,25,0
2020-08-06,0,Gyeongsangbuk-do,1409,1341,54
2020-08-06,0,Gyeongsangnam-do,166,156,0
2020-08-06,0,Jeju-do,26,21,0
2020-08-07,0,Seoul,1645,1502,13
2020-08-07,0,Busan,177,154,3
2020-08-07,0,Daegu,6943,6747,191
2020-08-07,0,Incheon,386,368,2
2020-08-07,0,Gwangju,208,168,2
2020-08-07,0,Daejeon,166,161,2
2020-08-07,0,Ulsan,59,50,1
2020-08-07,0,Sejong,50,1409,0
2020-08-07,0,Gyeonggi-do,1593,68,31
2020-08-07,0,Gangwon-do,77,71,3
2020-08-07,0,Chungcheongbuk-do,81,187,0
2020-08-07,0,Chungcheongnam-do,192,37,1
2020-08-07,0,Jeollabuk-do,39,25,0
2020-08-07,0,Jeollanam-do,41,1342,0
2020-08-07,0,Gyeongsangbuk-do,1410,156,54
2020-08-07,0,Gyeongsangnam-do,166,21,0
2020-08-07,0,Jeju-do,26,1021,0
