date,time,test,negative,confirmed,released,deceased
2020-07-01,0,1285231,1252855,12850,11613,282
2020-07-02,0,1295962,1263276,12904,11684,282
2020-07-03,0,1307761,1273234,12967,11759,282
2020-07-04,,,,,,
2020-07-05,0,1326055,1291317,13089,11832,283
2020-07-06,0,1331796,1297367,13137,11848,284
2020-07-07,0,1346194,1309338,13181,11914,285
2020-07-08,0,1359735,1322479,13244,11970,285
2020-07-09,0,1371771,1334566,13293,12019,287
2020-07-10,0,1384890,1348025,13338,12065,288
2020-07-11,0,,,,,
2020-07-12,0,1402144,1366897,13417,12178,289
2020-07-13,0,1408312,1372988,13479,12204,289
2020-07-14,0,1420616,1382815,13512,12282,289
2020-07-15,0,1431316,1394468,13551,12348,289
2020-07-16,0,1441348,1404332,13612,12396,291
2020-07-17,0,1451017,1414235,13672,12460,293
2020-07-18,0,1460204,1423570,13711,12519,294
2020-07-19,0,1465299,1429601,13750,12556,295
2020-07-20,0,1470193,1435120,13816,12643,296
2020-07-21,0,1482390,1444710,13816,12643,296
2020-07-22,0,1492071,1456441,13879,12698,297
2020-07-23,0,1500854,1465498,13938,12758,297
2020-07-24,0,1510327,1475789,13979,12817,298
2020-07-25,0,1518634,1484861,14092,12866,298
2020-07-26,0,1522926,1489562,14150,12890,298
2020-07-27,0,1526974,1494029,14175,12905,299
2020-07-28,0,1537704,15030557,14203,13007,300
2020-07-29,0,1547307,1513730,14251,13069,300
2020-07-30,0,1556215,1522928,14269,13132,300
2020-07-31,0,1563796,1531161,14305,13183,301
