date,time,test,negative,confirmed,released,deceased
2020-06-01,0,921391,885830,11503,10422,271
2020-06-02,0,939851,899388,11541,10446,272
2020-06-03,0,956852,917397,11590,10467,273
2020-06-04,0,973858,934030,11629,10499,273
2020-06-05,0,990960,950526,11668,10506,273
2020-06-06,0,1005305,965632,11719,10531,273
2020-06-07,0,1012769,974512,11776,10552,273
2020-06-08,0,1018214,982026,11814,10563,273
2020-06-09,0,1035997,996686,11852,10589,274
2020-06-10,0,1051972,1013847,11902,10611,276
2020-06-11,0,1066888,1029447,11947,10654,276
2020-06-12,0,1081487,1045240,12003,10669,277
2020-06-13,0,1094704,1059301,12051,10691,277
2020-06-14,0,1100327,1066887,12084,10718,277
2020-06-15,0,1105719,1072805,12121,10730,277
2020-06-16,0,1119767,1084980,12155,10760,278
2020-06-17,0,1132823,1099136,12198,10774,279
2020-06-18,0,1145712,1111741,12257,10800,280
2020-06-19,0,1158063,1124567,12306,10835,280
2020-06-20,0,1170901,1137058,12373,10856,280
2020-06-21,0,1176463,1143971,12421,10868,280
2020-06-22,0,1182066,1152025,12438,10881,280
2020-06-23,0,1196012,1161250,12484,10908,281
2020-06-24,0,1028597,1175817,12535,10930,281
2020-06-25,0,1220478,1189015,12563,10974,282
2020-06-26,0,1232315,1200885,12602,11172,282
2020-06-27,0,1243780,1211261,12653,11317,282
2020-06-28,0,1251695,1219975,12715,11364,282
2020-06-29,0,1259954,1228698,12757,11429,282
2020-06-30,0,1273766,1240157,12800,11537,282
